path,count
.form[].type,19134787
.form[].value,19154130
.form[].source.code,8040441
.form[].source.value,6828312
.note[].type,5332403
.note[].value,13039404
.note[].displayLabel,4715473
.note[].structuredValue[].value,1797313
.purl,5201124
.event[].date[].type,5417653
.event[].date[].value,4177677
.event[].date[].encoding.code,2797384
.event[].note[].type,4904968
.event[].note[].value,4904968
.event[].note[].source.value,3247799
.event[].location[].code,3498696
.event[].location[].source.code,3732460
.event[].location[].value,3669130
.event[].contributor[].name[].value,2937324
.event[].contributor[].role[].uri,2937325
.event[].contributor[].role[].code,2937324
.event[].contributor[].role[].value,2937324
.event[].contributor[].role[].source.uri,2937324
.event[].contributor[].role[].source.code,2937324
.event[].contributor[].type,2937324
.title[].value,4902876
.title[].status,1794018
.subject[].type,8490242
.subject[].value,6730822
.subject[].source.code,12853174
.subject[].structuredValue[].type,13677653
.subject[].structuredValue[].value,13537487
.subject[].source.version,374966
.language[].code,4161183
.language[].source.code,4160442
.identifier[].type,7314824
.identifier[].value,7376809
.identifier[].source.code,6726001
.contributor[].name[].structuredValue[].type,2432400
.contributor[].name[].structuredValue[].value,4484018
.contributor[].type,6330757
.contributor[].status,2321656
.adminMetadata.note[].type,3738191
.adminMetadata.note[].value,3738200
.adminMetadata.event[].date[].value,4734786
.adminMetadata.event[].date[].encoding.code,4734786
.adminMetadata.event[].type,4734786
.adminMetadata.identifier[].type,3134351
.adminMetadata.identifier[].value,3179222
.adminMetadata.contributor[].name[].code,4145064
.adminMetadata.contributor[].name[].source.code,4145064
.adminMetadata.contributor[].role[].value,4145064
.adminMetadata.contributor[].type,4145064
.adminMetadata.metadataStandard[].code,1856316
.relatedResource[].type,3020358
.relatedResource[].title[].structuredValue[].type,1217777
.relatedResource[].title[].structuredValue[].value,1217777
.title[].note[].type,675064
.title[].note[].value,572193
.title[].structuredValue[].type,3664689
.title[].structuredValue[].value,3664689
.subject[].code,1476036
.contributor[].name[].value,4056377
.relatedResource[].title[].value,2522616
.access.url[].value,426766
.access.url[].displayLabel,295207
.title[].type,1717495
.subject[].structuredValue[].structuredValue[].type,318927
.subject[].structuredValue[].structuredValue[].value,471774
.title[].note[].structuredValue[].type,198833
.title[].note[].structuredValue[].value,210128
.language[].appliesTo[].value,191929
.relatedResource[].contributor[].name[].structuredValue[].type,178571
.relatedResource[].contributor[].name[].structuredValue[].value,341627
.relatedResource[].contributor[].type,300966
.relatedResource[].access.url[].value,583485
.relatedResource[].access.url[].displayLabel,54749
.adminMetadata.language[].code,1324496
.adminMetadata.language[].source.code,1324563
.access.url[].note[].value,135804
.event[].date[].structuredValue[].type,2473965
.event[].date[].structuredValue[].value,2473966
.identifier[].displayLabel,1359698
.contributor[].role[].code,1299864
.contributor[].role[].source.code,1722074
.identifier[].status,281390
.event[].note[].source.code,821272
.title[].displayLabel,211101
.relatedResource[].identifier[].value,1503594
.relatedResource[].identifier[].type,470585
.relatedResource[].identifier[].source.code,469629
.relatedResource[].displayLabel,935173
.form[].structuredValue[].type,3797
.form[].structuredValue[].value,3797
.form[].uri,1697098
.form[].source.uri,1567164
.event[].type,690466
.access.accessContact[].type,885636
.access.accessContact[].value,885632
.access.accessContact[].displayLabel,29253
.subject[].uri,2597155
.subject[].source.uri,2509222
.contributor[].role[].uri,1483114
.contributor[].role[].value,1729988
.contributor[].role[].source.uri,1340066
.contributor[].identifier[].type,1321
.contributor[].identifier[].value,595
.contributor[].identifier[].source.uri,589
.contributor[].note[].type,9170
.contributor[].note[].value,9170
.relatedResource[].note[].type,32678
.relatedResource[].note[].value,36141
.contributor[].name[].uri,784779
.relatedResource[].contributor[].name[].value,437046
.note[].source.code,18426
.access.physicalLocation[].value,1023503
.access.physicalLocation[].type,818517
.event[].date[].status,919683
