path,count
.form[].type,12410913
.form[].value,12423926
.form[].source.code,6153571
.form[].source.value,3185385
.note[].type,4696494
.note[].value,7962309
.note[].displayLabel,294300
.note[].structuredValue[].value,1779200
.purl,3155727
.event[].date[].type,4329885
.event[].date[].value,3207497
.event[].date[].encoding.code,1890761
.event[].note[].type,4793750
.event[].note[].value,4793750
.event[].note[].source.value,3140694
.event[].location[].code,3120681
.event[].location[].source.code,3120684
.event[].location[].value,2897843
.event[].contributor[].name[].value,2698977
.event[].contributor[].role[].uri,2698977
.event[].contributor[].role[].code,2698977
.event[].contributor[].role[].value,2698977
.event[].contributor[].role[].source.uri,2698977
.event[].contributor[].role[].source.code,2698977
.event[].contributor[].type,2698977
.title[].value,2888233
.title[].status,1778300
.subject[].type,5753644
.subject[].value,4013542
.subject[].source.code,10233097
.subject[].structuredValue[].type,12769242
.subject[].structuredValue[].value,12629547
.subject[].source.version,374964
.language[].code,3558048
.language[].source.code,3558048
.identifier[].type,6006661
.identifier[].value,6012114
.identifier[].source.code,5576060
.contributor[].name[].structuredValue[].type,2380920
.contributor[].name[].structuredValue[].value,4432466
.contributor[].type,4854180
.contributor[].status,1544303
.adminMetadata.note[].type,3142641
.adminMetadata.note[].value,3142650
.adminMetadata.event[].date[].value,4708053
.adminMetadata.event[].date[].encoding.code,4708053
.adminMetadata.event[].type,4708053
.adminMetadata.identifier[].type,3119759
.adminMetadata.identifier[].value,3141815
.adminMetadata.contributor[].name[].code,3128318
.adminMetadata.contributor[].name[].source.code,3128318
.adminMetadata.contributor[].role[].value,3128318
.adminMetadata.contributor[].type,3128318
.adminMetadata.metadataStandard[].code,1843491
.relatedResource[].type,2195877
.relatedResource[].title[].structuredValue[].type,1197170
.relatedResource[].title[].structuredValue[].value,1197170
.title[].note[].type,671084
.title[].note[].value,568216
.title[].structuredValue[].type,3389801
.title[].structuredValue[].value,3389801
.subject[].code,1475801
.contributor[].name[].value,2579998
.relatedResource[].title[].value,1702534
.access.url[].value,417899
.access.url[].displayLabel,286669
.title[].type,1631342
.subject[].structuredValue[].structuredValue[].type,312978
.subject[].structuredValue[].structuredValue[].value,465225
.title[].note[].structuredValue[].type,198824
.title[].note[].structuredValue[].value,210119
.language[].appliesTo[].value,191928
.relatedResource[].contributor[].name[].structuredValue[].type,178571
.relatedResource[].contributor[].name[].structuredValue[].value,341627
.relatedResource[].contributor[].type,233226
.relatedResource[].access.url[].value,66301
.relatedResource[].access.url[].displayLabel,42392
.adminMetadata.language[].code,264744
.adminMetadata.language[].source.code,264744
.access.url[].note[].value,135802
.event[].date[].structuredValue[].type,2241677
.event[].date[].structuredValue[].value,2241677
.identifier[].displayLabel,22539
.contributor[].role[].code,163481
.contributor[].role[].source.code,170416
.identifier[].status,281386
.event[].note[].source.code,821266
.title[].displayLabel,131497
.relatedResource[].identifier[].value,1464239
.relatedResource[].identifier[].type,431581
.relatedResource[].identifier[].source.code,431581
.relatedResource[].displayLabel,152422
.subject[].uri,79694
.contributor[].name[].uri,86411
.relatedResource[].contributor[].name[].value,369261
.note[].source.code,18426
.access.physicalLocation[].value,326534
.access.physicalLocation[].type,163596
.event[].type,89413
.contributor[].role[].value,178992
.relatedResource[].event[].note[].type,8447
.relatedResource[].event[].note[].value,8447
.relatedResource[].event[].contributor[].name[].value,44258
.relatedResource[].event[].contributor[].role[].uri,44258
.relatedResource[].event[].contributor[].role[].code,44258
.relatedResource[].event[].contributor[].role[].value,44258
.relatedResource[].event[].contributor[].role[].source.uri,44258
.relatedResource[].event[].contributor[].role[].source.code,44258
.relatedResource[].event[].contributor[].type,44258
.relatedResource[].title[].type,32523
.relatedResource[].access.url[].note[].value,45469
.note[].parallelValue[].value,587527
.event[].parallelEvent[].note[].type,277756
.event[].parallelEvent[].note[].value,277756
.event[].parallelEvent[].date[].type,559849
.event[].parallelEvent[].date[].value,557081
.event[].parallelEvent[].location[].value,600426
.event[].parallelEvent[].contributor[].name[].value,655399
.event[].parallelEvent[].contributor[].role[].uri,655399
.event[].parallelEvent[].contributor[].role[].code,655399
.event[].parallelEvent[].contributor[].role[].value,655399
.event[].parallelEvent[].contributor[].role[].source.uri,655399
.event[].parallelEvent[].contributor[].role[].source.code,655399
.event[].parallelEvent[].contributor[].type,655399
.title[].parallelValue[].status,270313
