path,count
.form[].type,6723902
.form[].source.value,3642933
.form[].structuredValue[].type,3438
.form[].structuredValue[].value,3438
.form[].uri,1687305
.form[].value,6730230
.form[].source.code,1886890
.form[].source.uri,1557928
.note[].type,635919
.note[].value,5077107
.purl,2045787
.event[].date[].type,1087775
.event[].date[].encoding.code,906629
.event[].date[].structuredValue[].type,232288
.event[].date[].structuredValue[].value,232289
.event[].type,601059
.event[].date[].value,970187
.title[].value,2015033
.access.accessContact[].type,880874
.access.accessContact[].value,880870
.access.accessContact[].displayLabel,28217
.subject[].type,2736612
.subject[].value,2717293
.subject[].uri,2517461
.subject[].source.uri,2500152
.subject[].source.code,2620083
.contributor[].name[].structuredValue[].type,51488
.contributor[].name[].structuredValue[].value,51560
.contributor[].role[].uri,1475563
.contributor[].role[].code,1136387
.contributor[].role[].value,1551003
.contributor[].role[].source.uri,1332945
.contributor[].role[].source.code,1551661
.contributor[].type,1476592
.contributor[].status,777355
.contributor[].identifier[].type,964
.contributor[].identifier[].value,591
.contributor[].identifier[].source.uri,589
.contributor[].note[].type,8705
.contributor[].note[].value,8705
.adminMetadata.note[].type,595554
.adminMetadata.note[].value,595554
.adminMetadata.event[].date[].value,26738
.adminMetadata.event[].date[].encoding.code,26738
.adminMetadata.event[].type,26738
.relatedResource[].title[].value,820082
.relatedResource[].access.url[].value,517184
.relatedResource[].note[].type,27753
.relatedResource[].note[].value,34558
.event[].date[].status,909225
.identifier[].type,1308164
.identifier[].value,1364696
.identifier[].source.code,1149941
.identifier[].displayLabel,1337159
.contributor[].name[].value,1476390
.adminMetadata.language[].uri,857237
.adminMetadata.language[].code,1059753
.adminMetadata.language[].value,690146
.adminMetadata.language[].source.uri,855994
.adminMetadata.language[].source.code,1059820
.adminMetadata.language[].status,301901
.adminMetadata.contributor[].name[].uri,823152
.adminMetadata.contributor[].name[].code,1016747
.adminMetadata.contributor[].name[].source.uri,822033
.adminMetadata.contributor[].name[].source.code,1016747
.adminMetadata.contributor[].role[].value,1016747
.adminMetadata.contributor[].type,1016747
.form[].displayLabel,100254
.note[].displayLabel,4421172
.note[].valueLanguage.code,58079
.note[].valueLanguage.source.code,58079
.event[].contributor[].name[].value,238348
.event[].contributor[].role[].uri,238349
.event[].contributor[].role[].code,238348
.event[].contributor[].role[].value,238348
.event[].contributor[].role[].source.uri,238348
.event[].contributor[].role[].source.code,238348
.event[].contributor[].type,238348
.access.note[].type,13673
.access.note[].value,13675
.subject[].valueLanguage.code,105896
.subject[].valueLanguage.source.code,105895
.subject[].encoding.code,18705
.language[].code,603137
.language[].source.code,602396
.geographic[].form[].type,520264
.geographic[].form[].value,520236
.geographic[].form[].source.value,483140
.geographic[].subject[].type,253409
.geographic[].subject[].encoding.value,250638
.geographic[].subject[].standard.code,18557
.geographic[].subject[].structuredValue[].type,986570
.geographic[].subject[].structuredValue[].value,986570
.geographic[].subject[].value,2771
.geographic[].subject[].valueLanguage.code,2771
.adminMetadata.identifier[].value,37409
.adminMetadata.contributor[].name[].value,21589
.event[].date[].qualifier,101300
.event[].location[].uri,632911
.event[].location[].value,771288
.title[].valueLanguage.code,20109
.title[].valueLanguage.source.code,20109
.title[].valueLanguage.valueScript.code,15468
.title[].valueLanguage.valueScript.source.code,15468
.access.accessContact[].uri,839497
.access.accessContact[].source.code,818937
.access.accessContact[].valueLanguage.code,224424
.access.accessContact[].valueLanguage.source.code,224424
.access.accessContact[].valueLanguage.valueScript.code,224424
.access.accessContact[].valueLanguage.valueScript.source.code,224424
.access.physicalLocation[].type,654921
.access.physicalLocation[].value,696969
.subject[].structuredValue[].uri,120532
.subject[].structuredValue[].type,908413
.subject[].structuredValue[].value,907942
.subject[].structuredValue[].source.uri,120281
.subject[].structuredValue[].source.code,120399
.language[].uri,463097
.language[].value,450418
.language[].source.uri,461818
.contributor[].name[].uri,698368
.contributor[].name[].source.uri,620611
.contributor[].name[].source.code,709007
.relatedResource[].purl,13405
.form[].note[].value,179824
.form[].note[].displayLabel,100210
.title[].structuredValue[].type,274888
.title[].structuredValue[].value,274888
.title[].note[].type,3980
.title[].note[].value,3977
.event[].location[].source.uri,602285
.event[].location[].code,378017
.event[].location[].source.code,611778
.event[].displayLabel,560377
.relatedResource[].type,824481
.relatedResource[].displayLabel,782751
.event[].date[].structuredValue[].status,105765
.access.physicalLocation[].uri,2896
.access.physicalLocation[].source.code,2896
.access.physicalLocation[].displayLabel,10728
.event[].note[].type,111220
.event[].note[].value,111220
.event[].note[].source.value,107107
.form[].note[].type,81986
.title[].status,15720
.access.digitalLocation[].type,20539
.access.digitalLocation[].value,20539
.adminMetadata.metadataStandard[].uri,3202
.adminMetadata.metadataStandard[].value,3054
.adminMetadata.metadataStandard[].source.uri,3202
.adminMetadata.metadataStandard[].source.code,3054
.title[].type,86153
.title[].displayLabel,79604
.subject[].displayLabel,141681
.subject[].structuredValue[].structuredValue[].type,5949
.subject[].structuredValue[].structuredValue[].value,6549
.adminMetadata.identifier[].type,14594
.adminMetadata.metadataStandard[].code,12826
.relatedResource[].identifier[].type,39004
.relatedResource[].identifier[].value,39355
.relatedResource[].identifier[].source.code,38048
.relatedResource[].form[].type,33564
.relatedResource[].form[].value,34279
.relatedResource[].access.url[].displayLabel,12357
.access.accessContact[].source.uri,33926
.event[].location[].type,3811
.relatedResource[].identifier[].displayLabel,30726
.access.note[].appliesTo[].value,389
.relatedResource[].form[].source.value,5933
.title[].parallelValue[].note[].type,645
.title[].parallelValue[].note[].value,645
.title[].parallelValue[].valueLanguage.code,6714
.title[].parallelValue[].valueLanguage.source.code,6714
.title[].parallelValue[].valueLanguage.valueScript.code,11894
.title[].parallelValue[].valueLanguage.valueScript.source.code,11894
.title[].parallelValue[].structuredValue[].type,3480
.title[].parallelValue[].structuredValue[].value,3480
.title[].parallelValue[].type,3763
.title[].parallelValue[].standard.value,2037
.language[].script.code,1544
.language[].script.value,1544
.language[].script.source.code,1544
.contributor[].name[].parallelValue[].value,16205
.contributor[].name[].parallelValue[].status,1860
.contributor[].name[].parallelValue[].valueLanguage.valueScript.code,5458
.contributor[].name[].parallelValue[].valueLanguage.valueScript.source.code,5458
.contributor[].name[].parallelValue[].type,3033
.contributor[].name[].parallelValue[].standard.value,1353
.adminMetadata.language[].script.code,13285
.adminMetadata.language[].script.value,13285
.adminMetadata.language[].script.source.code,12217
.note[].structuredValue[].value,18113
.relatedResource[].form[].uri,8449
.relatedResource[].form[].source.code,8453
.relatedResource[].form[].note[].type,10925
.relatedResource[].form[].note[].value,10925
.relatedResource[].note[].groupedValue[].type,36147
.relatedResource[].note[].groupedValue[].value,36147
.relatedResource[].contributor[].name[].value,67785
.relatedResource[].contributor[].role[].uri,87142
.relatedResource[].contributor[].role[].value,102988
.relatedResource[].contributor[].role[].source.code,86909
.relatedResource[].contributor[].type,67740
.relatedResource[].adminMetadata.note[].type,8799
.relatedResource[].adminMetadata.note[].value,8799
.relatedResource[].adminMetadata.identifier[].value,8799
.relatedResource[].adminMetadata.contributor[].name[].code,8799
.relatedResource[].adminMetadata.contributor[].name[].source.code,8799
.relatedResource[].adminMetadata.contributor[].role[].value,8799
.relatedResource[].adminMetadata.contributor[].type,8799
.event[].date[].structuredValue[].qualifier,4355
.event[].date[].structuredValue[].encoding.code,2209
.event[].contributor[].name[].valueLanguage.code,1440
.event[].contributor[].name[].valueLanguage.source.code,1440
.subject[].parallelValue[].valueLanguage.code,8066
.subject[].parallelValue[].valueLanguage.source.code,8066
.subject[].parallelValue[].valueLanguage.valueScript.code,8434
.subject[].parallelValue[].valueLanguage.valueScript.source.code,8434
.subject[].parallelValue[].structuredValue[].uri,1285
.subject[].parallelValue[].structuredValue[].type,20818
.subject[].parallelValue[].structuredValue[].value,20819
.subject[].parallelValue[].structuredValue[].source.uri,1285
.subject[].parallelValue[].structuredValue[].source.code,1710
.subject[].parallelValue[].source.code,26880
.contributor[].name[].valueLanguage.code,1029
.contributor[].name[].valueLanguage.source.code,1029
.contributor[].name[].valueLanguage.valueScript.code,1781
.contributor[].name[].valueLanguage.valueScript.source.code,1781
.subject[].note[].uri,1172
.subject[].note[].code,1177
.subject[].note[].type,1263
.subject[].note[].value,1263
.subject[].note[].source.uri,1172
.subject[].note[].source.code,1177
.access.url[].value,8867
.access.url[].displayLabel,8538
.note[].valueLanguage.valueScript.code,9512
.note[].valueLanguage.valueScript.source.code,9512
.event[].contributor[].name[].valueLanguage.valueScript.code,6308
.event[].contributor[].name[].valueLanguage.valueScript.source.code,6308
.title[].parallelValue[].value,10193
.subject[].parallelValue[].uri,11930
.subject[].parallelValue[].value,24848
.subject[].parallelValue[].source.uri,11930
.relatedResource[].identifier[].uri,1088
.subject[].parallelValue[].type,8836
.relatedResource[].contributor[].note[].type,15157
.relatedResource[].contributor[].note[].value,15157
.relatedResource[].contributor[].role[].code,10488
.relatedResource[].contributor[].role[].source.uri,10488
.contributor[].name[].parallelValue[].valueLanguage.code,8932
.contributor[].name[].parallelValue[].valueLanguage.source.code,8932
.subject[].valueLanguage.valueScript.code,4697
.subject[].valueLanguage.valueScript.source.code,4697
.relatedResource[].access.physicalLocation[].type,673
.relatedResource[].access.physicalLocation[].value,692
.form[].groupedValue[].uri,1150
.form[].groupedValue[].type,7491
.form[].groupedValue[].value,7493
.form[].groupedValue[].source.code,1161
.form[].groupedValue[].source.value,4185
.relatedResource[].title[].structuredValue[].type,20607
.relatedResource[].title[].structuredValue[].value,20607
.relatedResource[].event[].location[].uri,91
.relatedResource[].event[].location[].value,2276
.relatedResource[].event[].location[].source.uri,91
.geographic[].subject[].uri,438
.relatedResource[].note[].displayLabel,12961
.relatedResource[].title[].type,4563
.relatedResource[].note[].structuredValue[].groupedValue[].type,135
.relatedResource[].note[].structuredValue[].groupedValue[].value,135
.title[].uri,163
.title[].source.uri,161
.title[].source.code,1286
.identifier[].uri,95
.contributor[].name[].parallelValue[].structuredValue[].type,1669
.contributor[].name[].parallelValue[].structuredValue[].value,1669
.relatedResource[].contributor[].name[].uri,543
.relatedResource[].contributor[].name[].source.uri,541
.relatedResource[].contributor[].name[].source.code,539
.relatedResource[].event[].date[].type,3877
.relatedResource[].event[].date[].value,3789
.relatedResource[].event[].date[].encoding.code,1599
.relatedResource[].event[].contributor[].name[].value,279
.relatedResource[].event[].contributor[].role[].uri,279
.relatedResource[].event[].contributor[].role[].code,279
.relatedResource[].event[].contributor[].role[].value,279
.relatedResource[].event[].contributor[].role[].source.uri,279
.relatedResource[].event[].contributor[].role[].source.code,279
.relatedResource[].event[].contributor[].type,279
.title[].parallelValue[].displayLabel,347
.subject[].groupedValue[].uri,3
.subject[].groupedValue[].type,3
.subject[].groupedValue[].value,3
